#symbol,announce_date,alloc_stock,alloc_price,total_share,x_date,registration_date,paydate_start,paydate_end,list_date,amount
600629.sh,19940514,3.00,3,4055.88,19940523,19940520,19940523,19940603,19940606,36502920,
600630.sh,20010405,3.00,8.8,37520.22,20010302,20010301,20010302,20010315,20010410,437003098.4,
600630.sh,19930814,5.00,2.1,17447.32,19930823,19930820,19930823,19930831,19930903,27802950,
600631.sh,19990420,3.00,5,46402.55,19990311,19990310,19990311,19990324,19990422,329169435,
600631.sh,19970611,2.73,4.2,26167.55,19970506,19970505,19970506,19970519,19970616,293039472.6,
600631.sh,19930612,6.00,6,12108.64,19930621,19930618,19930621,19930630,,188430792,
600633.sh,19930626,9.00,3.7,9217,19930705,19930702,19930705,19930715,19930722,51071100,
600634.sh,20030623,6.00,,8720.73,,,,,,,
600634.sh,19940820,6.00,3.3,3128.15,19940829,19940826,19940829,19940909,19940912,61937429.4,
600634.sh,19930724,7.00,3.7,1534.15,19930802,19930730,19930802,19930810,19930813,25909065,
600635.sh,20021121,2.68,6.18,47618.17,20021028,20021025,20021028,20021108,20021125,432600000,
600635.sh,19981016,2.00,5,38845.17,19980831,19980828,19980831,19980911,19981021,358639200,
600635.sh,19970217,2.40,5,10442.25,19961220,19961219,19961220,19970103,19970221,125307000,
600635.sh,19950701,3.00,4.8,5967,19950710,19950707,19950710,19950721,19950724,85924800,
600635.sh,19940319,3.00,5.2,4590,19940328,19940325,19940328,19940408,19940411,71604000,
600635.sh,19930320,10.00,4.75,1400,19930329,19930326,19930329,19930407,,61750000,
600636.sh,20020226,3.00,8,11606.4,20020116,20020115,20020116,20020129,20020228,130998928,
600636.sh,20010430,3.00,,11606.4,,,,,,,
600636.sh,19930724,6.00,2.4,5000,19930802,19930730,19930802,19930810,19930813,28800000,
600637.sh,19930731,8.00,2.45,45922.43,19930809,19930806,19930809,19930817,19930820,120724044,
600638.sh,20011106,3.00,10,51830.74,20011008,20010928,20011008,20011019,20011109,428566140,
600638.sh,19991019,3.00,,,,,,,,,
600638.sh,19971129,2.00,8,45233.46,19971016,19971015,19971016,19971029,19971203,527782248,
600638.sh,19950908,3.00,4.5,17031.03,19950918,19950915,19950918,19950929,19951004,134520160.5,
600638.sh,19930807,9.00,5.8,8023.79,19930816,19930813,19930816,19930825,19930831,146615253.6,
600639.sh,19970902,3.00,4.5,48800,19970724,19970723,19970724,19970807,19970904,658800000,
600639.sh,19940507,3.00,4,41000,19940516,19940513,19940516,19940525,19940530,312000000,
600640.sh,19970306,1.92,5,30621.24,19970117,19970116,19970117,19970130,19970313,293351500,
600640.sh,19931009,7.00,5,7000,19931018,19931015,19931018,19931025,19931029,195250000,
600641.sh,19951110,3.00,4.5,13348.8,19951004,19950929,19951004,19951018,19951115,97200000,
600641.sh,19940430,3.00,2.4,7416,19940509,19940506,19940509,19940518,19940523,53395200,
600641.sh,19930410,2.00,2.8,6180,19930419,19930416,19930419,19930428,,34608000,
600642.sh,19961212,8.00,3.2,240273.67,19961111,19961108,19961111,19961122,19961218,737123400,
600643.sh,19990501,2.73,10,33264.02,19990316,19990315,19990316,19990329,19990506,526470870,
600643.sh,19970228,2.72,6.5,19800,19970115,19970114,19970115,19970129,19970306,351000000,
600644.sh,20010928,1.88,,24933.65,,,,,,,
600644.sh,19990208,3.00,6.5,13028.95,19990108,19990107,19990108,19990122,19990304,166047648,
600644.sh,19970923,2.73,3.8,7671.4,19970901,19970829,19970901,19970912,19970926,57830376,
600644.sh,19930807,10.00,3.8,5154,19930816,19930813,19930816,19930825,19930831,49400000,
600645.sh,19980212,2.31,3.6,12699.04,19971218,19971217,19971218,19971231,19980217,105397509.6,
600645.sh,19950420,2.00,4,6783.68,19950425,19950424,19950425,19950512,19950515,54269400,
600645.sh,19930814,8.00,3.8,3022.07,19930823,19930820,19930823,19930831,19930903,34046860,
600647.sh,19940618,5.00,1.5,3570,19940627,19940624,19940627,19940708,19940718,26725125,
600648.sh,19980611,3.00,,,,,,,,,
600648.sh,19940823,3.00,4.3,54750,19940829,19940826,19940829,19940907,19940912,293475000,
600649.sh,19971231,8.00,3.7,100251.28,19971205,19971204,19971205,19971218,19980108,1802370813.9,
600649.sh,19960212,3.00,2.2,84738.76,19951214,19951213,19951214,19951228,19960216,341275440,
600649.sh,19931120,30.00,2.6,66243.01,19931129,19931126,19931129,19931208,19931213,480889500,
600651.sh,20010308,3.00,8.2,14763.84,20010212,20010209,20010212,20010223,20010313,363190464,
600651.sh,19940402,3.00,5,4000,19940411,19940408,19940411,19940420,19940425,60000000,
600651.sh,19930313,6.00,5,500,19930322,19930319,19930322,19930331,,15000000,
